Grammar Point,Sentence Type,Structure,Meaning (VI),Grammar Example
Future Perfect Continuous,Kh?ng d?nh,S + will + have + been + V-ing,Hành d?ng liên t?c d?n m?t th?i di?m nh?t d?nh trong tuong lai,"By June, I will have been learning English for 3 years."
Future Perfect Continuous,Ph? d?nh,S + will + not + have + been + V-ing,Hành d?ng liên t?c d?n m?t th?i di?m nh?t d?nh trong tuong lai,"By June, I will not have been learning English for 3 years."
Future Perfect Continuous,Nghi v?n,Will + S + have + been + V-ing?,Hành d?ng liên t?c d?n m?t th?i di?m nh?t d?nh trong tuong lai,Will you have been working here for 10 years by then?
Conditional Type 0,Kh?ng d?nh,"If + S + V(HT), S + V(HT)","S? th?t hi?n nhiên, quy lu?t t? nhiên","If you heat water to 100°C, it boils."
Conditional Type 0,Ph? d?nh,"If + S + do/does not + V, S + do/does not + V","S? th?t hi?n nhiên, quy lu?t t? nhiên","If you do not water plants, they do not grow."
Conditional Type 0,Nghi v?n,What happens if + S + V(HT)?,"S? th?t hi?n nhiên, quy lu?t t? nhiên",What happens if you heat water to 100°C?
Conditional Type 1,Kh?ng d?nh,"If + S + V(HT), S + will + V",Ði?u ki?n có th? x?y ra trong tuong lai,"If it rains, we will stay inside."
Conditional Type 1,Ph? d?nh,"If + S + do/does not + V, S + will not + V",Ði?u ki?n có th? x?y ra trong tuong lai,"If it does not rain, we will not stay inside."
Conditional Type 1,Nghi v?n,Will + S + V if + S + V(HT)?,Ði?u ki?n có th? x?y ra trong tuong lai,Will you stay inside if it rains?
Conditional Type 2,Kh?ng d?nh,"If + S + V2, S + would + V",Ði?u ki?n không có th?c ? hi?n t?i,"If I had more time, I would learn a new language."
Conditional Type 2,Ph? d?nh,"If + S + did not + V, S + would not + V",Ði?u ki?n không có th?c ? hi?n t?i,"If I did not have more time, I would not learn a language."
Conditional Type 2,Nghi v?n,Would + S + V if + S + V2?,Ði?u ki?n không có th?c ? hi?n t?i,Would you learn a language if you had more time?
Conditional Type 3,Kh?ng d?nh,"If + S + had + V3, S + would have + V3",Ði?u ki?n không có th?c trong quá kh?,"If she had studied harder, she would have passed."
Conditional Type 3,Ph? d?nh,"If + S + had not + V3, S + would not have + V3",Ði?u ki?n không có th?c trong quá kh?,"If she had not studied harder, she would not have passed."
Conditional Type 3,Nghi v?n,Would + S + have + V3 if + S + had + V3?,Ði?u ki?n không có th?c trong quá kh?,Would she have passed if she had studied harder?
Mixed Conditional,Kh?ng d?nh,"If + S + had + V3, S + would + V (now)",K?t h?p di?u ki?n QK (if) v?i k?t qu? HT (would),"If I had studied medicine, I would be a doctor now."
Mixed Conditional,Ph? d?nh,"If + S + had not + V3, S + would not + V (now)",K?t h?p di?u ki?n QK (if) v?i k?t qu? HT (would),"If I had not missed the bus, I would not be late now."
Mixed Conditional,Nghi v?n,Would + S + V now if + S + had + V3?,K?t h?p di?u ki?n QK (if) v?i k?t qu? HT (would),Would you be rich now if you had invested in that stock?
Modal: can / could,Kh?ng d?nh,S + can/could + V,Kh? nang HT (can) ho?c QK/l?ch s? (could),She can speak three languages.
Modal: can / could,Ph? d?nh,S + cannot/could not + V,Kh? nang HT (can) ho?c QK/l?ch s? (could),She cannot speak three languages.
Modal: can / could,Nghi v?n,Can/Could + S + V?,Kh? nang HT (can) ho?c QK/l?ch s? (could),Can she speak three languages?
Modal: must / have to,Kh?ng d?nh,S + must/have to + V,B?t bu?c (must not=c?m; don't have to=không c?n),You must wear a helmet.
Modal: must / have to,Ph? d?nh,S + must not / do not have to + V,B?t bu?c (must not=c?m; don't have to=không c?n),You must not park here. / You do not have to come.
Modal: must / have to,Nghi v?n,Must + S + V? / Do + S + have to + V?,B?t bu?c (must not=c?m; don't have to=không c?n),Must you wear a helmet? / Do you have to come?
Modal: should / ought to,Kh?ng d?nh,S + should/ought to + V,L?i khuyên ho?c di?u nên làm,You should drink more water.
Modal: should / ought to,Ph? d?nh,S + should not + V,L?i khuyên ho?c di?u nên làm,You should not stay up late.
Modal: should / ought to,Nghi v?n,Should + S + V?,L?i khuyên ho?c di?u nên làm,Should I see a doctor?
Modal: may / might,Kh?ng d?nh,S + may/might + V,Kh? nang x?y ra ho?c xin phép l?ch s?,It might rain this afternoon.
Modal: may / might,Ph? d?nh,S + may not / might not + V,Kh? nang x?y ra ho?c xin phép l?ch s?,She might not come to the party.
Modal: may / might,Nghi v?n,May + S + V?,Kh? nang x?y ra ho?c xin phép l?ch s?,May I use your pen?
Modal: used to / would,Kh?ng d?nh,S + used to/would + V,Thói quen ho?c tr?ng thái trong QK (nay không còn n?a),I used to walk to school every day.
Modal: used to / would,Ph? d?nh,S + did not use to + V / S + would not + V,Thói quen ho?c tr?ng thái trong QK (nay không còn n?a),I did not use to eat vegetables when I was young.
Modal: used to / would,Nghi v?n,Did + S + use to + V?,Thói quen ho?c tr?ng thái trong QK (nay không còn n?a),Did you use to play video games as a child?
Passive – Present Simple,Kh?ng d?nh,S + am/is/are + V3 (+ by O),B? d?ng – Hi?n t?i don,The car is washed every week.
Passive – Present Simple,Ph? d?nh,S + am/is/are + not + V3,B? d?ng – Hi?n t?i don,The car is not washed every week.
Passive – Present Simple,Nghi v?n,Am/Is/Are + S + V3?,B? d?ng – Hi?n t?i don,Is the car washed every week?
Passive – Present Continuous,Kh?ng d?nh,S + am/is/are + being + V3,B? d?ng – Hi?n t?i ti?p di?n,The road is being repaired right now.
Passive – Present Continuous,Ph? d?nh,S + am/is/are + not + being + V3,B? d?ng – Hi?n t?i ti?p di?n,The road is not being repaired right now.
Passive – Present Continuous,Nghi v?n,Am/Is/Are + S + being + V3?,B? d?ng – Hi?n t?i ti?p di?n,Is the road being repaired right now?
Passive – Past Simple,Kh?ng d?nh,S + was/were + V3 (+ by O),B? d?ng – Quá kh? don,The letter was written by him.
Passive – Past Simple,Ph? d?nh,S + was/were + not + V3,B? d?ng – Quá kh? don,The letter was not written by him.
Passive – Past Simple,Nghi v?n,Was/Were + S + V3?,B? d?ng – Quá kh? don,Was the letter written by him?
Passive – Past Continuous,Kh?ng d?nh,S + was/were + being + V3,B? d?ng – Quá kh? ti?p di?n,The house was being painted when we arrived.
Passive – Past Continuous,Ph? d?nh,S + was/were + not + being + V3,B? d?ng – Quá kh? ti?p di?n,The house was not being painted when we arrived.
Passive – Past Continuous,Nghi v?n,Was/Were + S + being + V3?,B? d?ng – Quá kh? ti?p di?n,Was the house being painted when you arrived?
Passive – Past Perfect,Kh?ng d?nh,S + had + been + V3,B? d?ng – Quá kh? hoàn thành,The report had been submitted before the meeting.
Passive – Past Perfect,Ph? d?nh,S + had + not + been + V3,B? d?ng – Quá kh? hoàn thành,The report had not been submitted before the meeting.
Passive – Past Perfect,Nghi v?n,Had + S + been + V3?,B? d?ng – Quá kh? hoàn thành,Had the report been submitted before the meeting?
Passive – Present Perfect,Kh?ng d?nh,S + have/has + been + V3,B? d?ng – Hi?n t?i hoàn thành,The bridge has been repaired recently.
Passive – Present Perfect,Ph? d?nh,S + have/has + not + been + V3,B? d?ng – Hi?n t?i hoàn thành,The bridge has not been repaired yet.
Passive – Present Perfect,Nghi v?n,Have/Has + S + been + V3?,B? d?ng – Hi?n t?i hoàn thành,Has the bridge been repaired?
Passive – Future (will),Kh?ng d?nh,S + will + be + V3,B? d?ng – Tuong lai don (will),The building will be completed next year.
Passive – Future (will),Ph? d?nh,S + will + not + be + V3,B? d?ng – Tuong lai don (will),The building will not be completed next year.
Passive – Future (will),Nghi v?n,Will + S + be + V3?,B? d?ng – Tuong lai don (will),Will the building be completed next year?
Passive – Future (going to),Kh?ng d?nh,S + am/is/are + going to + be + V3,B? d?ng – Tuong lai (going to),The school is going to be renovated next month.
Passive – Future (going to),Ph? d?nh,S + am/is/are + not + going to + be + V3,B? d?ng – Tuong lai (going to),The school is not going to be renovated next month.
Passive – Future (going to),Nghi v?n,Am/Is/Are + S + going to + be + V3?,B? d?ng – Tuong lai (going to),Is the school going to be renovated next month?
Passive – Future Continuous,Kh?ng d?nh,S + will + be + being + V3,"B? d?ng – Tuong lai ti?p di?n (hi?m, dùng trong van vi?t)",The road will be being repaired this time tomorrow.
Passive – Future Continuous,Ph? d?nh,S + will + not + be + being + V3,"B? d?ng – Tuong lai ti?p di?n (hi?m, dùng trong van vi?t)",The road will not be being repaired this time tomorrow.
Passive – Future Continuous,Nghi v?n,Will + S + be + being + V3?,"B? d?ng – Tuong lai ti?p di?n (hi?m, dùng trong van vi?t)",Will the road be being repaired this time tomorrow?
Reported Speech – Statement,Kh?ng d?nh,S + said (that) + S + V(lùi thì),Câu tr?n thu?t và câu h?i Yes/No gián ti?p,She said that she was tired.
Reported Speech – Statement,Ph? d?nh,S + said (that) + S + did not + V,Câu tr?n thu?t và câu h?i Yes/No gián ti?p,He said that he did not understand.
Reported Speech – Statement,Nghi v?n,S + asked if/whether + S + V,Câu tr?n thu?t và câu h?i Yes/No gián ti?p,She asked if I was free that evening.
Reported Speech – Wh-Question,Kh?ng d?nh,S + asked + O + wh-word + S + V,Câu h?i Wh gián ti?p,She asked where I lived.
Reported Speech – Wh-Question,Ph? d?nh,S + asked + O + wh-word + S + did not + V,Câu h?i Wh gián ti?p,He asked why she did not call him.
Reported Speech – Wh-Question,Nghi v?n,S + wondered + wh-word + S + V,Câu h?i Wh gián ti?p,I wondered when the meeting would start.
Wish – Present/Future,Kh?ng d?nh,S + wish(es) + S + V2 (were/had/could...),U?c mu?n trái v?i th?c t? ? hi?n t?i,I wish I were taller.
Wish – Present/Future,Ph? d?nh,S + wish(es) + S + were not / did not + V,U?c mu?n trái v?i th?c t? ? hi?n t?i,I wish I were not so busy.
Wish – Present/Future,Nghi v?n,Do/Does + S + wish + S + V2?,U?c mu?n trái v?i th?c t? ? hi?n t?i,Do you wish you lived in a bigger house?
Wish – Past,Kh?ng d?nh,S + wish(es) + S + had + V3,U?c mu?n trái v?i th?c t? trong quá kh?,She wishes she had studied harder.
Wish – Past,Ph? d?nh,S + wish(es) + S + had not + V3,U?c mu?n trái v?i th?c t? trong quá kh?,She wishes she had not said that.
Wish – Past,Nghi v?n,Do/Does + S + wish + S + had + V3?,U?c mu?n trái v?i th?c t? trong quá kh?,Do you wish you had taken that job?
Wish – Future (would),Kh?ng d?nh,S + wish(es) + O + would + V,U?c mu?n v? s? thay d?i trong tuong lai,I wish it would stop raining.
Wish – Future (would),Ph? d?nh,S + wish(es) + O + would not + V,U?c mu?n v? s? thay d?i trong tuong lai,I wish he would not talk so loudly.
Wish – Future (would),Nghi v?n,Do/Does + S + wish + O + would + V?,U?c mu?n v? s? thay d?i trong tuong lai,Do you wish things would change?
Subject Questions,Kh?ng d?nh,Who/What + V + O? (không dùng do/does/did),Câu h?i v? ch? ng? – không d?o tr? d?ng t?,Who called you last night?
Subject Questions,Ph? d?nh,(Không có d?ng ph? d?nh riêng cho subject question),Câu h?i v? ch? ng? – không d?o tr? d?ng t?,(Who didn't call? ? dùng object question structure)
Subject Questions,Nghi v?n,Who/What + V + O?,Câu h?i v? ch? ng? – không d?o tr? d?ng t?,What happened at the meeting?
Object Questions,Kh?ng d?nh,Wh + do/does/did + S + V + ?,Câu h?i v? tân ng? – có d?o tr? d?ng t?,Who did you call last night?
Object Questions,Ph? d?nh,Wh + do/does/did + S + not + V + ?,Câu h?i v? tân ng? – có d?o tr? d?ng t?,Who did you not invite to the party?
Object Questions,Nghi v?n,Whom/What + do/does/did + S + V?,Câu h?i v? tân ng? – có d?o tr? d?ng t?,What did she say to you?
Indirect Questions,Kh?ng d?nh,Could you tell me + wh-word + S + V?,Câu h?i gián ti?p l?ch s? – gi? nguyên tr?t t? S+V,Could you tell me where the station is?
Indirect Questions,Ph? d?nh,Do you know + if/whether + S + V (not)?,Câu h?i gián ti?p l?ch s? – gi? nguyên tr?t t? S+V,Do you know if she is not coming?
Indirect Questions,Nghi v?n,Would you mind telling me + wh-word + S + V?,Câu h?i gián ti?p l?ch s? – gi? nguyên tr?t t? S+V,Would you mind telling me what time it is?
Tag Questions,Kh?ng d?nh,"S + V(+), tag(-)?",Câu h?i duôi – d?o chi?u kh?ng d?nh/ph? d?nh,"She is a doctor, isn't she?"
Tag Questions,Ph? d?nh,"S + V(-), tag(+)?",Câu h?i duôi – d?o chi?u kh?ng d?nh/ph? d?nh,"He doesn't like coffee, does he?"
Tag Questions,Nghi v?n,Dùng duôi câu h?i d? xác nh?n thông tin,Câu h?i duôi – d?o chi?u kh?ng d?nh/ph? d?nh,"You have met him before, haven't you?"
Gerund (V-ing),Kh?ng d?nh,V-ing + V(s/es) / S + V + V-ing,Danh d?ng t? làm ch? ng? ho?c tân ng?,Swimming is good for your health.
Gerund (V-ing),Ph? d?nh,Not + V-ing ... / S + V + not + V-ing,Danh d?ng t? làm ch? ng? ho?c tân ng?,Not eating breakfast is a bad habit.
Gerund (V-ing),Nghi v?n,Is + V-ing + adj? / Does + S + enjoy + V-ing?,Danh d?ng t? làm ch? ng? ho?c tân ng?,Does she enjoy swimming?
Infinitive (to + V),Kh?ng d?nh,S + V + to + V / S + be + adj + to + V,Dùng di?n t? m?c dích ho?c sau tính t?,He went to the library to study.
Infinitive (to + V),Ph? d?nh,S + V + not + to + V (formal) / S + be + too adj + to + V,Dùng di?n t? m?c dích ho?c sau tính t?,She decided not to go to the party.
Infinitive (to + V),Nghi v?n,Why + did + S + V? ? To + V...,Dùng di?n t? m?c dích ho?c sau tính t?,Why did you go there? — To meet my friend.
Relative Clause – Defining,Kh?ng d?nh,N + who/which/that + V ...,M?nh d? quan h? xác d?nh (không có d?u ph?y),The teacher who helped me is very kind.
Relative Clause – Defining,Ph? d?nh,N + who/which + do/does not + V ...,M?nh d? quan h? xác d?nh (không có d?u ph?y),The book which does not have pictures is boring.
Relative Clause – Defining,Nghi v?n,Who/Which + V ... ?,M?nh d? quan h? xác d?nh (không có d?u ph?y),Who is the person that called you?
Relative Clause – Non-defining,Kh?ng d?nh,"N, + who/which + V, ...",M?nh d? quan h? không xác d?nh (có d?u ph?y),"My sister, who lives in Paris, is a chef."
Relative Clause – Non-defining,Ph? d?nh,"N, + who/which + do/does not + V, ...",M?nh d? quan h? không xác d?nh (có d?u ph?y),"The Eiffel Tower, which was built in 1889, is iconic."
Relative Clause – Non-defining,Nghi v?n,(Không dùng 'that'; thu?ng trong van vi?t),M?nh d? quan h? không xác d?nh (có d?u ph?y),"My boss, who never smiles, gave me a compliment today."
Comparatives,Kh?ng d?nh,S + V + adj-er + than + N / S + V + more + adj + than + N,"So sánh hon – tính t? ng?n thêm -er, dài dùng more",She is taller than her brother.
Comparatives,Ph? d?nh,S + V + not + as + adj + as + N,"So sánh hon – tính t? ng?n thêm -er, dài dùng more",This book is not as interesting as that one.
Comparatives,Nghi v?n,Is + S + adj-er + than + N?,"So sánh hon – tính t? ng?n thêm -er, dài dùng more",Is this phone more expensive than that one?
Superlatives,Kh?ng d?nh,S + V + the + adj-est / S + V + the most + adj,So sánh nh?t – dùng the + -est ho?c the most,He is the tallest student in the class.
Superlatives,Ph? d?nh,S + V + not + the + adj-est / not + the most + adj,So sánh nh?t – dùng the + -est ho?c the most,This is not the most expensive restaurant in town.
Superlatives,Nghi v?n,What/Who is the + adj-est / the most + adj?,So sánh nh?t – dùng the + -est ho?c the most,What is the most popular sport in Vietnam?
Both...and / Not only...but also,Kh?ng d?nh,Both A and B + V(pl) / Not only A but also B + V,Nh?n m?nh hai d?i tu?ng cùng lúc,Both Tom and Mary are coming to the party.
Both...and / Not only...but also,Ph? d?nh,(Dùng neither...nor d? ph? d?nh c? hai),Nh?n m?nh hai d?i tu?ng cùng lúc,Neither Tom nor Mary is coming to the party.
Both...and / Not only...but also,Nghi v?n,Do both A and B + V?,Nh?n m?nh hai d?i tu?ng cùng lúc,Are both Tom and Mary coming to the party?
Either...or / Neither...nor,Kh?ng d?nh,Either A or B + V (chia theo B),L?a ch?n (either/or) ho?c ph? d?nh c? hai (neither/nor),Either you or he is responsible for this.
Either...or / Neither...nor,Ph? d?nh,Neither A nor B + V (chia theo B),L?a ch?n (either/or) ho?c ph? d?nh c? hai (neither/nor),Neither the manager nor the staff was informed.
Either...or / Neither...nor,Nghi v?n,Is it either A or B?,L?a ch?n (either/or) ho?c ph? d?nh c? hai (neither/nor),Is it either tea or coffee that you prefer?
Concession: Although / Even though,Kh?ng d?nh,"Although/Even though + S + V, S + V",Di?n t? s? nhu?ng b? – m?nh d? trái nghia,"Although it was raining, we went for a walk."
Concession: Although / Even though,Ph? d?nh,"Although + S + do/does not + V, S + V",Di?n t? s? nhu?ng b? – m?nh d? trái nghia,"Although she did not study much, she passed the exam."
Concession: Although / Even though,Nghi v?n,"Even though + S + V, does + S + still + V?",Di?n t? s? nhu?ng b? – m?nh d? trái nghia,"Even though he is rich, does he still live simply?"
Concession: Despite / In spite of,Kh?ng d?nh,"Despite/In spite of + N/V-ing, S + V",Nhu?ng b? – theo sau là danh t? ho?c V-ing (không có S+V),"Despite the rain, we went for a walk."
Concession: Despite / In spite of,Ph? d?nh,"Despite/In spite of + not + V-ing, S + V",Nhu?ng b? – theo sau là danh t? ho?c V-ing (không có S+V),"In spite of not feeling well, she went to work."
Concession: Despite / In spite of,Nghi v?n,"Despite + N/V-ing, does + S + still + V?",Nhu?ng b? – theo sau là danh t? ho?c V-ing (không có S+V),"Despite being tired, did she finish the project?"
Too...to / Enough...to,Kh?ng d?nh,S + be + too + adj + to + V / S + be + adj + enough + to + V,too...to = quá...nên không; enough...to = d?...d?,He is too tired to drive. / She is strong enough to lift it.
Too...to / Enough...to,Ph? d?nh,S + be + not + adj + enough + to + V,too...to = quá...nên không; enough...to = d?...d?,He is not old enough to vote.
Too...to / Enough...to,Nghi v?n,Is + S + too + adj + to + V? / Is + S + adj + enough + to + V?,too...to = quá...nên không; enough...to = d?...d?,Is it too hot to go outside? / Is she tall enough to reach it?
So...that / Such...that,Kh?ng d?nh,S + V + so + adj/adv + that + S + V / S + V + such + (a/an) + adj + N + that + S + V,so...that / such...that = d?n m?c mà...,It was so cold that we stayed inside.
So...that / Such...that,Ph? d?nh,S + V + so + adj + that + S + could not + V,so...that / such...that = d?n m?c mà...,It was so dark that she could not see anything.
So...that / Such...that,Nghi v?n,Was + S + so + adj + that + S + V?,so...that / such...that = d?n m?c mà...,Was the film so boring that you fell asleep?
Articles: a / an / the,Kh?ng d?nh,a/an + danh t? d?m du?c s? ít (l?n d?u d? c?p) / the + danh t? xác d?nh,a/an = chua xác d?nh; the = dã xác d?nh; zero = chung chung,I saw a dog in the park. The dog was very friendly.
Articles: a / an / the,Ph? d?nh,"Không dùng m?o t?: danh t? không d?m du?c, s? nhi?u chung chung",a/an = chua xác d?nh; the = dã xác d?nh; zero = chung chung,I don't drink milk. / Dogs are loyal animals. (zero article)
Articles: a / an / the,Nghi v?n,Is this a/the + N? / Do you have a/the + N?,a/an = chua xác d?nh; the = dã xác d?nh; zero = chung chung,Is there a supermarket near here? / Where is the nearest hospital?
Countable vs Uncountable Nouns,Kh?ng d?nh,many/few + N d?m du?c / much/little + N không d?m du?c,Danh t? d?m du?c dùng many/few; không d?m du?c dùng much/little,There are many students in the class. There is much water in the bottle.
Countable vs Uncountable Nouns,Ph? d?nh,not many + N d?m du?c / not much + N không d?m du?c,Danh t? d?m du?c dùng many/few; không d?m du?c dùng much/little,There are not many apples left. There is not much time.
Countable vs Uncountable Nouns,Nghi v?n,How many + N d?m du?c? / How much + N không d?m du?c?,Danh t? d?m du?c dùng many/few; không d?m du?c dùng much/little,How many people came? How much money do you need?
Emphatic do/does/did,Kh?ng d?nh,S + do/does/did + V (nguyên th?) — nh?n m?nh,Dùng do/does/did tru?c V d? nh?n m?nh s? th?t,I do love you. / She does work hard. / He did call you.
Emphatic do/does/did,Ph? d?nh,(Ph? d?nh thu?ng không dùng d?ng nh?n m?nh này),Dùng do/does/did tru?c V d? nh?n m?nh s? th?t,(Không áp d?ng tr?c ti?p cho ph? d?nh nh?n m?nh)
Emphatic do/does/did,Nghi v?n,Dùng d? ph?n bác ho?c xác nh?n m?nh,Dùng do/does/did tru?c V d? nh?n m?nh s? th?t,You said I never clean — but I do clean every day!
Cleft Sentences (It is...that),Kh?ng d?nh,It is/was + N/pronoun + that/who + S + V,Câu ch? – nh?n m?nh m?t thành ph?n trong câu,It was Mary who broke the window.
Cleft Sentences (It is...that),Ph? d?nh,It is not + N + that + S + V,Câu ch? – nh?n m?nh m?t thành ph?n trong câu,It is not money that makes us happy.
Cleft Sentences (It is...that),Nghi v?n,Is it + N + that + S + V?,Câu ch? – nh?n m?nh m?t thành ph?n trong câu,Is it this book that you were looking for?
Passive – Past Perfect Continuous,Kh?ng d?nh,S + had + been + being + V3,B? d?ng – Quá kh? hoàn thành ti?p di?n (r?t hi?m dùng),The project had been being reviewed for months before it was cancelled.
Passive – Past Perfect Continuous,Ph? d?nh,S + had + not + been + being + V3,B? d?ng – Quá kh? hoàn thành ti?p di?n (r?t hi?m dùng),The issue had not been being discussed properly.
Passive – Past Perfect Continuous,Nghi v?n,Had + S + been + being + V3?,B? d?ng – Quá kh? hoàn thành ti?p di?n (r?t hi?m dùng),Had the problem been being monitored before it escalated?
Passive – Future Perfect,Kh?ng d?nh,S + will + have + been + V3,B? d?ng – Tuong lai hoàn thành,The report will have been submitted by Monday.
Passive – Future Perfect,Ph? d?nh,S + will + not + have + been + V3,B? d?ng – Tuong lai hoàn thành,The documents will not have been signed by then.
Passive – Future Perfect,Nghi v?n,Will + S + have + been + V3?,B? d?ng – Tuong lai hoàn thành,Will the bridge have been completed by 2026?
Passive – Modal Verbs,Kh?ng d?nh,S + modal + be + V3,B? d?ng v?i d?ng t? khuy?t thi?u (can/must/should/may...),This problem can be solved easily.
Passive – Modal Verbs,Ph? d?nh,S + modal + not + be + V3,B? d?ng v?i d?ng t? khuy?t thi?u (can/must/should/may...),Children should not be left alone at home.
Passive – Modal Verbs,Nghi v?n,Modal + S + be + V3?,B? d?ng v?i d?ng t? khuy?t thi?u (can/must/should/may...),Can this issue be resolved before the deadline?
Reported Speech – Commands,Kh?ng d?nh,S + told/asked + O + to + V,Câu m?nh l?nh/yêu c?u gián ti?p,She told me to close the door.
Reported Speech – Commands,Ph? d?nh,S + told/asked + O + not + to + V,Câu m?nh l?nh/yêu c?u gián ti?p,He asked her not to make noise.
Reported Speech – Commands,Nghi v?n,Did + S + tell/ask + O + to + V?,Câu m?nh l?nh/yêu c?u gián ti?p,Did she tell you to wait outside?
Causative: have / get / make / let,Kh?ng d?nh,S + have/get + O + V3 / S + make/let + O + V,C?u trúc sai khi?n – nh?/b?t/d? ai làm gì,I had my car repaired. / She got her nails done.
